Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,ceiling_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,weather_condition_set_1d
KMLJ,01/01/2015 01:15 EST,30.36,35.6,35.6,100,0,0,,481,,4,,,31,,,35.6,,N,29.94,30.04,,Mist
KMLJ,01/01/2015 01:35 EST,30.37,35.6,35.6,100,0,0,,12,,5,,,31,,,35.6,,N,29.95,30.05,,Mist
KMLJ,01/01/2015 01:55 EST,30.37,35.6,35.6,100,0,0,,14,,0.5,,,9,,100,35.6,,N,29.95,30.05,,Fog
KMLJ,01/01/2015 02:15 EST,30.36,35.6,35.6,100,0,0,,14,,0.25,,,9,,100,35.6,,N,29.94,30.04,,Fog
KMLJ,01/01/2015 02:35 EST,30.36,35.6,35.6,100,0,0,,14,,0.25,,,9,,100,35.6,,N,29.94,30.04,,Fog
KMLJ,01/01/2015 02:55 EST,30.36,35.6,35.6,100,0,0,,14,,0.75,,,31,,100,35.6,,N,29.94,30.04,,Mist
KMLJ,01/01/2015 03:15 EST,30.37,35.6,35.6,100,0,0,,14,,0.25,,,9,,100,35.6,,N,29.95,30.05,,Fog
KMLJ,01/01/2015 03:35 EST,30.36,35.6,35.6,100,0,0,,14,,0.25,,,9,,100,35.6,,N,29.94,30.04,,Fog
KMLJ,01/01/2015 03:55 EST,30.36,35.6,35.6,100,0,0,,14,,0.25,,,9,,100,35.6,,N,29.94,30.04,,Fog
KMLJ,01/01/2015 04:15 EST,30.36,33.8,33.8,100,0,0,,13,,1,,,31,,100,33.8,,N,29.94,30.07,,Mist
KMLJ,01/01/2015 04:35 EST,30.35,33.8,33.8,100,0,0,,121,,5,,,31,,,33.8,,N,29.93,30.06,,Mist
KMLJ,01/01/2015 04:55 EST,30.33,33.8,33.8,100,0,0,,601,,4,,,31,,,33.8,,N,29.91,30.04,,Mist
KMLJ,01/01/2015 05:15 EST,30.33,33.8,33.8,100,0,0,,601,,5,,,31,,,33.8,,N,29.91,30.04,,Mist
KMLJ,01/01/2015 05:35 EST,30.32,32,32,100,0,0,,13,,2.5,,,31,,100,32,,N,29.9,30.06,,Mist
KMLJ,01/01/2015 05:55 EST,30.32,33.8,33.8,100,0,0,,14,,3,,,31,,100,33.8,,N,29.9,30.03,,Mist
KMLJ,01/01/2015 06:15 EST,30.33,33.8,33.8,100,0,0,,14,,4,,,31,,100,33.8,,N,29.91,30.04,,Mist
KMLJ,01/01/2015 06:35 EST,30.35,33.8,33.8,100,0,0,,14,,1.25,,,31,,100,33.8,,N,29.93,30.06,,Mist
KMLJ,01/01/2015 06:55 EST,30.35,33.8,33.8,100,0,0,,13,,1.5,,,31,,100,33.8,,N,29.93,30.06,,Mist
KMLJ,01/01/2015 07:15 EST,30.35,33.8,33.8,100,0,0,,14,,0.75,,,31,,100,33.8,,N,29.93,30.06,,Mist
KMLJ,01/01/2015 07:35 EST,30.36,33.8,33.8,100,0,0,,14,,0.5,,,9,,100,33.8,,N,29.94,30.07,,Fog
KMLJ,01/01/2015 07:55 EST,30.37,33.8,33.8,100,0,0,,13,,0.5,,,9,,100,33.8,,N,29.95,30.08,,Fog
KMLJ,01/01/2015 08:15 EST,30.36,33.8,33.8,100,0,0,,12,,1.75,,,31,,,33.8,,N,29.94,30.07,,Mist
KMLJ,01/01/2015 08:35 EST,30.37,33.8,33.8,100,0,0,,71,110,3,,,31,360,,33.8,,N,29.95,30.08,,Mist
KMLJ,01/01/2015 08:55 EST,30.37,35.6,35.6,100,0,0,,71,120,5,,,31,350,,35.6,,N,29.95,30.05,,Mist
KMLJ,01/01/2015 09:15 EST,30.38,37.4,37.4,100,0,0,,71,120,7,,,,250,,37.4,,N,29.96,30.03,,N/A
KMLJ,01/01/2015 09:35 EST,30.37,39.2,39.2,100,0,0,,51,,7,,,,,,39.2,,N,29.95,29.99,,Clear
KMLJ,01/01/2015 09:55 EST,30.38,42.8,41,93.3,0,0,,51,,10,,,,,,40.98,,N,29.96,29.96,,Clear
KMLJ,01/01/2015 10:15 EST,30.38,42.8,41,93.3,0,0,,21,,10,,,,,,40.98,,N,29.96,29.96,,Clear
KMLJ,01/01/2015 10:35 EST,30.37,44.6,41,87.09,0,0,,601,,10,,,,,,40.95,,N,29.95,29.94,,Clear
KMLJ,01/01/2015 10:55 EST,30.37,46.4,39.2,75.84,0,0,,601,,10,,,,,,39.11,,N,29.95,29.95,,Clear
KMLJ,01/01/2015 11:15 EST,30.36,48.2,39.2,70.88,0,0,,141,260,10,,,,,,39.1,,N,29.94,29.94,,N/A
KMLJ,01/01/2015 11:35 EST,30.35,50,39.2,66.27,0,0,,601,,10,,,,,,39.08,,N,29.93,29.92,,Clear
